Region,20200923_20200930,20200722_20200729,20190901_20190920,20200819_20200826,20200826_20200902,20200805_20200812,20200909_20200916,20201014_20201021,20200812_20200819,20180815_20181015,20201007_20201014,20200902_20200909,20200916_20200923,20200715_20200722,20200930_20201007
Ayensuano,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Banda,0.01,0.0,7.78,0.05,0.06,0.0,0.01,0.01,0.02,0.02,0.03,0.0,0.0,0.0,0.04
Bawku Municipal,0.39,0.01,0.93,0.55,0.79,0.03,0.81,0.04,0.1,1.11,0.02,0.71,0.18,0.0,0.66
Bawku West,0.72,0.01,5.18,0.17,14.43,0.02,16.5,1.01,0.07,2.22,1.16,17.73,1.47,0.05,1.59
Bekwai Municipal,0.0,0.0,0.09,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
Berekum,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Bia East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bia West,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biakoye,0.19,0.01,0.1,0.0,0.06,0.0,0.01,1.36,0.0,0.0,0.91,0.0,0.02,0.01,0.4
Binduri,0.58,0.03,5.2,0.94,12.25,0.04,13.13,0.59,0.07,4.55,0.64,15.78,0.73,0.12,1.82
Birim Municipal,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Birim North,0.0,0.0,0.14,0.0,0.0,0.08,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Birim South,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bodi,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.03,0.0,0.0,0.0,0.04
Bole,0.37,0.02,7.0,0.27,0.29,0.0,0.02,0.33,0.01,0.99,0.02,0.0,0.15,0.0,0.3
Bolgatanga Municipal,0.17,0.03,3.07,0.0,0.07,0.03,0.0,0.0,0.01,0.96,0.29,2.98,0.25,0.09,0.82
Bongo,0.25,0.01,0.86,0.0,0.0,0.0,0.0,0.06,0.01,0.59,0.35,0.75,0.23,0.19,0.34
Bosome Freho,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosomtwe / Atwima / Kwanwoma,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,0.21,0.0,0.0,0.0,0.0
Builsa North,0.13,0.01,7.6,0.07,0.01,0.0,0.05,0.27,0.1,2.85,0.62,1.41,0.64,0.05,3.24
Builsa South,0.51,0.06,25.31,0.99,0.2,0.25,2.28,2.47,0.1,19.87,8.02,5.88,3.37,2.83,15.59
Bunkpurugu Yonyo,1.08,0.05,2.52,0.45,2.64,0.17,3.66,0.73,0.02,3.49,1.02,4.96,5.51,0.04,5.02
Cape Coast Metro,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Tongu,0.0,0.01,0.8,0.06,0.08,0.07,0.0,0.13,0.07,0.0,0.07,0.02,0.0,0.0,0.19
Chereponi,37.75,0.02,11.69,0.37,4.18,0.38,49.15,36.5,0.0,33.55,43.38,40.72,42.4,0.95,45.27
Daffiama Bussie,0.01,0.01,0.11,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.01,0.0,0.0,0.01,0.04
Denkyembour,0.0,0.01,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Dormaa East,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dormaa Municipal,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0
Dormaa West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
East Akim,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Gonja,11.81,0.07,38.41,1.69,0.91,0.83,12.57,24.49,0.08,74.3,37.73,0.15,9.8,1.66,10.16
Effutu,0.01,0.0,0.09,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.01,0.05,0.0,0.02,0.01
Ejisu Juaben,0.0,0.0,0.86,0.01,0.0,0.01,0.0,0.04,0.0,0.0,0.56,0.0,0.0,0.0,0.0
Ejura Sekye Dumase,0.11,0.01,0.0,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Ekumfi,0.01,0.0,0.08,0.01,0.0,0.0,0.0,0.05,0.01,0.0,0.02,0.0,0.0,0.01,0.02
Ellembelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fanteakwa,1.24,0.0,0.29,0.15,0.35,0.1,0.0,3.02,0.01,0.0,1.23,0.05,1.19,0.01,1.43
Ga Central Municipal,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ga East,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ga South,0.02,0.04,0.95,0.01,0.0,0.03,0.0,0.51,0.04,0.0,0.05,0.01,0.0,0.01,0.02
Ga West,0.0,0.02,1.13,0.0,0.01,0.03,0.0,0.66,0.0,0.0,0.01,0.0,0.0,0.0,0.01
Garu Tempane,0.5,0.05,3.51,0.35,5.79,0.1,4.51,0.2,0.07,2.27,0.36,5.76,1.19,0.0,0.94
Gomoa East,0.0,0.04,0.17,0.06,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0
Gomoa West,0.0,0.01,0.15,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0
Gonja Central,18.09,0.01,6.1,0.97,0.31,0.03,3.98,9.11,0.04,34.06,7.23,0.24,24.13,0.26,6.38
Gushiegu,0.51,0.04,2.5,1.65,0.12,0.05,0.83,0.05,0.0,6.07,0.15,9.82,1.92,0.08,2.87
Ho Municipal,0.0,0.0,0.04,0.01,0.01,0.01,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Ho West,0.0,0.0,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hohoe Municipal,0.0,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Jaman North,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Jaman South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jasikan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jirapa,0.25,0.03,2.04,0.02,0.0,0.0,0.0,0.52,0.28,1.36,0.31,0.01,0.0,0.01,0.64
Jomoro,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.0
Juabeso,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
Kadjebi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karaga,44.06,0.09,67.88,5.96,18.05,2.02,58.27,18.41,0.0,65.52,21.3,104.38,68.48,0.37,72.79
Kasena Nankana East,5.42,0.05,22.07,0.8,2.53,0.03,3.24,0.9,0.04,11.27,3.89,14.58,11.28,0.2,11.65
Kasena Nankana West,0.35,0.03,1.76,0.05,0.01,0.0,0.08,0.4,0.03,1.05,0.65,0.47,0.59,0.02,1.1
