admin0name,admin1name,admin2name,crop_area,flood_area,pop_sum,year
Ghana,Oti,Jasikan,0.0,0.0,0.0,1985
Ghana,Oti,Kadjebi,0.0,0.0,0.0,1985
Ghana,Oti,Nkwanta South,0.0,0.0,0.0,1985
Ghana,Oti,Krachi Nchumuru,0.0,0.0,0.0,1985
Ghana,Oti,Nkwanta North,0.0,0.0,0.0,1985
Ghana,Oti,Krachi West,0.0,0.0,0.0,1985
Ghana,Oti,Biakoye,0.0,0.0,0.0,1985
Ghana,Oti,Krachi East,0.0,0.0,0.0,1985
Ghana,Bono,Dormaa West,0.0,0.0,0.0,1985
Ghana,Bono,Banda,0.0,0.0,0.0,1985
Ghana,Bono,Jaman South,0.0,0.0,0.0,1985
Ghana,Bono,Sunyani Municipal,0.0,0.0,0.0,1985
Ghana,Bono,Jaman North,0.0,0.0,0.0,1985
Ghana,Bono,Berekum,0.0,0.0,0.0,1985
Ghana,Bono,Dormaa East,0.0,0.0,0.0,1985
Ghana,Bono,Wenchi,0.0,0.0,0.0,1985
Ghana,Bono,Sunyani West,0.0,0.0,0.0,1985
Ghana,Bono,Tain,0.0,0.0,0.0,1985
Ghana,Bono,Dormaa Municipal,0.0,0.0,0.0,1985
Ghana,Ahafo,Asutifi South,0.0,0.0,0.0,1985
Ghana,Ahafo,Asutifi North,0.0,0.0,0.0,1985
Ghana,Ahafo,Asunafo South,0.0,0.0,0.0,1985
Ghana,Ahafo,Asunafo North,0.0,0.0,0.0,1985
Ghana,Ahafo,Tano South,0.0,0.0,0.0,1985
Ghana,Ahafo,Tano North,0.0,0.0,0.0,1985
Ghana,Volta,North Tongu,0.0,0.0,0.0,1985
Ghana,Volta,Akatsi South,0.08889574584960938,0.08889574584960938,0.0,1985
Ghana,Volta,South Tongu,0.0,0.0,0.0,1985
Ghana,Volta,Agotime Ziope,0.0,0.0,0.0,1985
Ghana,Volta,Adaklu,0.0,0.0,0.0,1985
Ghana,Volta,Ho West,0.0,0.0,0.0,1985
Ghana,Volta,Akatsi North,0.0,0.0,0.0,1985
Ghana,Volta,Ketu South,0.0,2.756346771240234,0.0,1985
Ghana,Volta,South Dayi,0.0,0.0,0.0,1985
Ghana,Volta,Kpando Municipal,0.0,0.0,0.0,1985
Ghana,Volta,North Dayi,0.0,0.0,0.0,1985
Ghana,Volta,Central Tongu,0.0,0.0,0.0,1985
Ghana,Volta,Afadzato South,0.0,0.0,0.0,1985
Ghana,Volta,Ketu North,0.0,0.0,0.0,1985
Ghana,Volta,Ho Municipal,0.0,0.0,0.0,1985
Ghana,Volta,Hohoe Municipal,0.0,0.0,0.0,1985
Ghana,Volta,Keta Municipal,7.882203156762223,18.485793156116,0.0,1985
Ghana,Ashanti,Asante Akim South,0.0,0.0,0.0,1985
Ghana,Ashanti,Sekyere Central,0.0,0.0,0.0,1985
Ghana,Ashanti,Sekyere Afram Plains North,0.0,0.0,0.0,1985
Ghana,Ashanti,Asante Akim North,0.0,0.0,0.0,1985
Ghana,Ashanti,Offinso Municipal,0.0,0.0,0.0,1985
Ghana,Ashanti,Sekyere Kumawu,0.0,0.0,0.0,1985
Ghana,Ashanti,Ahafo Ano North,0.0,0.0,0.0,1985
Ghana,Ashanti,Sekyere South,0.0,0.0,0.0,1985
Ghana,Ashanti,Asokore Mampong Municipal,0.0,0.0,0.0,1985
Ghana,Ashanti,Kwabre,0.0,0.0,0.0,1985
Ghana,Ashanti,Amansie Central,0.0,0.0,0.0,1985
Ghana,Ashanti,Ejisu Juaben,0.0,0.0,0.0,1985
Ghana,Ashanti,Bosome Freho,0.0,0.0,0.0,1985
Ghana,Ashanti,Obuasi Municipal,0.0,0.0,0.0,1985
Ghana,Ashanti,Mampong Municipal,0.0,0.0,0.0,1985
Ghana,Ashanti,Atwima Kwanwoma,0.0,0.0,0.0,1985
Ghana,Ashanti,Kma,0.0,0.0,0.0,1985
Ghana,Ashanti,Asante Akim Central Municipal,0.0,0.0,0.0,1985
Ghana,Ashanti,Amansie West,0.0,0.0,0.0,1985
Ghana,Ashanti,Ahafo Ano South,0.0,0.0,0.0,1985
Ghana,Ashanti,Ejura Sekye Dumase,0.0,0.0,0.0,1985
Ghana,Ashanti,Adansi South,0.0,0.0,0.0,1985
Ghana,Ashanti,Atwima Mponua,0.0,0.0,0.0,1985
Ghana,Ashanti,Adansi North,0.0,0.0,0.0,1985
Ghana,Ashanti,Atwima Nwabiagya,0.0,0.0,0.0,1985
Ghana,Ashanti,Bekwai Municipal,0.0,0.0,0.0,1985
Ghana,Ashanti,Bosomtwe / Atwima / Kwanwoma,0.0,0.0,0.0,1985
Ghana,Ashanti,Afigya Kwabre,0.0,0.0,0.0,1985
Ghana,Ashanti,Offinso North,0.0,0.0,0.0,1985
Ghana,Ashanti,Sekyere East,0.0,0.0,0.0,1985
Ghana,Central,Cape Coast Metro,0.0,0.0,0.0,1985
Ghana,Central,Agona East,0.0,0.0,0.0,1985
Ghana,Central,Upper Denkyira West,0.0,0.0,0.0,1985
Ghana,Central,Twifo Ati-Morkwa,0.0,0.0,0.0,1985
Ghana,Central,Awutu Senya East Municipal,0.0,0.0,0.0,1985
Ghana,Central,Ajumako / Enyan / Esiam,0.0,0.0,0.0,1985
Ghana,Central,Gomoa West,0.0,0.0,0.0,1985
Ghana,Central,Abura / Asebu / Kwamankese,0.0,0.0,0.0,1985
Ghana,Central,Asikuma / Odoben / Brakwa,0.0,0.0,0.0,1985
Ghana,Central,Agona West,0.0,0.0,0.0,1985
Ghana,Central,Twifo Lower Denkyira,0.0,0.0,0.0,1985
Ghana,Central,Upper Denkyira East,0.0,0.0,0.0,1985
Ghana,Central,Awutu Senya West,0.0,0.0,0.0,1985
Ghana,Central,Komenda Edna Eguafo / Abirem,0.0,0.0,0.0,1985
Ghana,Central,Assin South,0.0,0.0,0.0,1985
Ghana,Central,Assin North,0.0,0.0,0.0,1985
Ghana,Central,Mfantsiman,0.0,0.0,0.0,1985
Ghana,Central,Effutu,0.0,0.0,0.0,1985
Ghana,Central,Ekumfi,0.0,0.0,0.0,1985
Ghana,Central,Gomoa East,0.0,0.0,0.0,1985
Ghana,Eastern,Akwapem South,0.0,0.0,0.0,1985
Ghana,Eastern,Lower Manya,0.0,0.0,0.0,1985
Ghana,Eastern,Kwahu East,0.0,0.0,0.0,1985
Ghana,Eastern,Nsawam Adoagyiri,0.0,0.0,0.0,1985
