|,|__District,|__Total_Population,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value
,Bolgatanga Municipal,151813,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,383
,Asuogyaman,106340,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,364
,Nanumba North,156712,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,360
,Juabeso,60033,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,351
,Chereponi,58957,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,321
,Prestea / Huni Valley,162458,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,312
,Ga West,322340,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,307
,South Tongu,105100,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,304
,Kwahu Afram Plains South,115738,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,300
,Akyem Mansa,112059,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,300
,Wa East,92319,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,258
,Kasena Nankana East,99048,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,256
,Upper West Akim,93724,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,255
,North Tongu,89232,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,232
,Kwahu West,91718,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,230
,Assin South,122720,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,226
,Afadzato South,122251,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,224
,Sekyere East,35512,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,224
,Asunafo South,105071,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,216
,Wa Municipal,111837,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,213
,Mamprugu Moagduri,51075,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,210
,Bodi,36930,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,207
,Kasena Nankana West,83837,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,206
,Kumbumgu,55587,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,206
,Mpohor,72578,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,204
,Ahafo Ano South,105888,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,200
,Agona East,99912,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,193
,Nsawam Adoagyiri,94527,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,192
,Zabzugu,74137,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,192
,Denkyembour,78695,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,189
,La Nkwantanang Madina,135401,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,188
,Dormaa Municipal,137201,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,176
,Abura / Asebu / Kwamankese,135776,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,176
,North Gonja,32806,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,176
,Asutifi South,57398,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,174
,Amansie Central,54540,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,173
,Tatale,82385,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,162
,Bawku Municipal,103139,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,160
,Bongo,83739,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,153
,Awutu Senya East Municipal,135830,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,147
,Ga East,163158,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,144
,Central Tongu,63000,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,140
,Sekyere South,135225,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,140
,Atwima Nwabiagya,168888,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,140
,Binduri,41032,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,140
,Atebubu Amantin,135334,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,138
,New Juaben Municipal,198113,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,132
,Talensi,61590,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,132
,Nandom,50736,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,127
,Sunyani Municipal,100841,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,125
,Ejisu Juaben,143552,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,125
,Pru,143365,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,124
,Ningo Prampram,69309,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,120
,Asante Akim South,126170,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,120
,Asante Akim Central Municipal,79301,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,120
,Wassa Amenfi West,91210,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,120
,Sawla / Tuna / Kalba,95947,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,120
,Adenta,77346,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,114
,Shai Osu Doku,49712,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,113
,Lambussie Karni,60477,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,105
,Mion,94520,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,104
,Builsa North,72926,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,104
,Biakoye,92607,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,102
,Fanteakwa,120329,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,100
,Awutu Senya West,54603,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,98
,Kintampo North,106304,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,96
,Kwahu South,71152,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,96
,Twifo Ati-Morkwa,89633,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,91
,Upper Manya,70739,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,91
,Suaman,24380,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,89
,Sefwi Akontombra,95447,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,85
,Nadowli / Kaleo,56516,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,84
,Ayensuano,94527,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,80
,South Dayi,49336,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,77
,Builsa South,30955,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,72
,Tamale North Sub Metro,201565,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,67
,Kwabre,55975,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,66
,Akwapem North,169021,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,66
,Sekyere Central,68901,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,64
,Hohoe Municipal,221900,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,56
,Kwahu East,65233,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,54
,Twifo Lower Denkyira,28827,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,52
,Techiman Municipal,160323,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,48
,Nabdam,26680,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,48
,Lawra,65039,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,48
,Sissala  West,41379,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,45
,West Gonja,66463,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,44
,Banda,26871,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,43
,Bole,81042,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,42
,Jirapa,93764,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,42
,Bekwai Municipal,171653,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,38
,North Dayi,49937,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,36
,Sekyere Afram Plains North,38544,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,36
,Atwima Mponua,138912,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,36
,Wassa Amenfi Central,66889,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,36
,Daffiama Bussie,28309,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,36
,Tano North,90522,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,35
,Agotime Ziope,27064,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,35
,Ho West,105298,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,33
,Tolon,35458,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,30
,Techiman North,54935,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,30
,Tema Metropolis,280441,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,30
,Sunyani West,105265,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,28
,Kpando Municipal,56306,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,27
,Bosome Freho,57877,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,27
,Ejura Sekye Dumase,88798,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,26
,Sissala East,76962,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,26
,Ga Central Municipal,148247,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,24
,Upper Denkyira East,77415,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,23
,Mampong Municipal,91532,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,21
,Wa West,69748,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,21
,Jasikan,34437,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,20
,Atwima Kwanwoma,112313,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,18
,Akatsi South,118954,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,18
,Lower Manya,81107,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,16
