Region,Treatment,year,perc_pop
Kumbumgu,1,2019,0.0
Kumbumgu,1,2020,0.00032381671973662906
Nkwanta North,1,2015,0.0
Nkwanta North,1,2016,0.0
Nkwanta North,1,2017,0.0
Nkwanta North,1,2018,0.0
Nkwanta North,1,2019,0.0003742823704680684
Nkwanta North,1,2020,0.00022471629567670816
Jomoro,1,2015,0.0010789476626527578
Jomoro,1,2016,0.0008273795547803531
Jomoro,1,2017,0.0019342792294189336
Jomoro,1,2018,0.0020181352653764017
Jomoro,1,2019,0.0009783204195037956
Jomoro,1,2020,0.00030188172944688564
Savelugu Nanton,1,2015,0.0
Savelugu Nanton,1,2016,0.0
Savelugu Nanton,1,2017,0.0
Savelugu Nanton,1,2018,0.00012739148561634317
Savelugu Nanton,1,2019,0.0
Savelugu Nanton,1,2020,0.0004169175892898504
Kintampo North,1,2015,0.0
Kintampo North,1,2016,0.0
Kintampo North,1,2017,0.0
Kintampo North,1,2018,4.98754589132462e-05
Kintampo North,1,2019,0.0001251313288711029
Kintampo North,1,2020,0.0004467026124116113
Ekumfi,1,2015,0.0
Ekumfi,1,2016,0.00032492947553428746
Ekumfi,1,2017,0.0
Ekumfi,1,2018,0.0006498589510685749
Ekumfi,1,2019,0.0008123236888357186
Ekumfi,1,2020,0.00016246473776714373
Nanumba North,1,2015,0.0
Nanumba North,1,2016,9.57169840216448e-05
Nanumba North,1,2017,0.0
Nanumba North,1,2018,0.0
Nanumba North,1,2019,0.0
Nanumba North,1,2020,0.0001914339680432896
Lower Manya,1,2015,0.0
Lower Manya,1,2016,0.0
Lower Manya,1,2017,0.0
Lower Manya,1,2018,0.0
Lower Manya,1,2019,0.0
Lower Manya,1,2020,5.802066841260529e-07
Mamprugu Moagduri,1,2015,0.0009789525208027412
Mamprugu Moagduri,1,2016,0.0005873715124816446
Mamprugu Moagduri,1,2017,0.0
Mamprugu Moagduri,1,2018,0.00019579050416054818
Mamprugu Moagduri,1,2019,0.0
