Region,20200812_20200819,20200805_20200812,20200909_20200916,20201014_20201021,20190901_20190920,20200819_20200826,20200826_20200902,20200923_20200930,20200722_20200729,20200715_20200722,20200916_20200923,20200930_20201007,20200902_20200909,20201007_20201014,20180815_20181015
Wa West,0.09,0.0,2.02,4.54,14.07,0.07,0.0,1.76,0.03,0.0,0.21,1.23,0.13,0.78,12.35
Wassa Amenfi Central,0.0,0.67,0.0,1.04,1.96,0.86,0.08,0.49,0.13,0.11,0.03,0.03,0.37,0.17,0.0
Wassa Amenfi East,0.0,0.71,0.0,0.63,2.34,0.77,0.03,0.54,0.08,0.11,0.03,0.02,0.48,0.36,0.0
Wassa Amenfi West,0.0,0.21,0.0,1.39,1.98,0.72,0.32,0.36,0.05,0.29,0.02,0.09,1.44,0.06,0.0
Wassa East,1.16,0.15,0.0,3.05,0.69,0.51,0.0,0.52,0.31,1.15,0.02,0.06,1.31,0.62,0.0
Wenchi,0.0,0.0,0.0,0.01,0.18,0.13,0.07,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
West Akim,0.14,0.07,0.0,0.11,0.8,0.01,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.42,0.0
West Gonja,0.28,0.02,6.13,4.83,10.68,0.13,0.34,31.56,0.18,0.69,27.01,7.63,0.05,5.41,48.8
West Mamprusi,0.46,2.85,174.9,59.47,203.95,10.3,23.2,172.46,0.25,0.98,178.26,145.18,155.99,116.22,194.66
Yendi Municipal,0.56,0.19,12.46,5.98,8.52,0.16,0.0,12.44,0.11,0.01,9.66,8.14,8.17,8.77,8.5
Yilo Krobo,0.05,0.03,0.0,0.4,0.38,0.01,0.0,0.19,0.0,0.0,0.18,0.28,0.0,0.28,0.0
Zabzugu,0.54,0.11,9.35,9.14,3.67,0.05,0.0,10.5,0.04,0.14,7.64,5.15,3.02,6.47,12.94
