Region,02Year,05Year,10Year,15Year,20Year
Mpohor,0.0,0.0,0.0,0.0,0.0
Nabdam,0.0,0.0,0.0,0.0,0.0
Nadowli / Kaleo,0.0,0.0,0.0,0.0,0.00014155283459551277
Nandom,0.0,0.0,0.0,0.0,0.0
Nanumba North,0.0,0.0,9.57169840216448e-05,9.57169840216448e-05,0.0001914339680432896
Nanumba South,0.0,0.0,0.0,0.0,0.0
New Juaben Municipal,0.0,0.0,0.0,0.0,0.0
Ningo Prampram,0.0,5.771256258206005e-05,0.0001154251251641201,0.0001154251251641201,0.0002308502503282402
Nkoranza North,0.0,0.0,0.0,0.0,0.0
Nkoranza South,0.0,0.0,0.0,0.0,0.0
Nkwanta North,0.0,0.0,0.0003370744435150622,0.0003370744435150622,0.0003370744435150622
Nkwanta South,0.0,0.0002023570549763647,0.00034805413455934726,0.0004209026743508386,0.0007122968335168037
North Dayi,0.0,0.0,0.0,0.0,0.0
North Gonja,0.0,0.0003353045174663171,0.0003353045174663171,0.0006706090349326342,0.0006706090349326342
North Tongu,0.0,0.0,7.844719383180922e-05,0.00028016854939931865,0.00028016854939931865
Nsawam Adoagyiri,0.0,0.0,0.0,0.0,0.0
Nzema East,0.0,0.0001653268304780012,0.0001653268304780012,0.0003306536609560024,0.0004959804914340035
Obuasi Municipal,0.0,0.0,7.444390403684477e-05,0.00014888780807368953,0.00029777561614737906
Offinso Municipal,0.0,0.0,0.0,0.0,0.0
Offinso North,0.0,0.0,0.0,0.0,0.0
Prestea / Huni Valley,0.0,0.0,8.61761193662362e-05,0.0001723522387324724,0.00025852835809870857
Pru,0.0,0.0,0.00023715690719492205,0.00023715690719492205,0.0003278345481812158
Pusiga,0.0,0.0,0.0,0.0,0.0
Saboba,0.0,0.0,0.0,0.0,0.0002068305799012384
Sagnerigu,0.0,0.0,0.0,0.0,3.1683168316831686e-05
Savelugu Nanton,0.0,0.0,6.369574280817159e-05,0.00025478297123268634,0.00033585028026126835
Sawla / Tuna / Kalba,0.0,0.0,0.0,0.0,0.0
Sefwi Akontombra,0.0,0.0,0.0,0.0,0.0
Sefwi Bibiani / Anhwiaso Bekwai,0.0,0.0,0.00014115764956829286,0.00025094693256585396,0.00037642039884878097
Sefwi-Wiawso,0.0,0.0,0.0,0.0,0.0
Sekondi Takoradi,0.0,0.0,0.0,0.0,0.0
Sekyere Afram Plains North,0.0,0.0,0.0,0.0,0.0
Sekyere Central,0.0,0.0,0.0,0.0,0.0
Sekyere East,0.0,0.0,0.0,0.0,0.0
Sekyere Kumawu,0.0,0.0,0.0,0.0,0.0
Sekyere South,0.0,0.0,0.0,0.0,0.0
Sene East,0.0,0.0022686147946093392,0.003429929510897453,0.003835039295649121,0.005050368649904124
Sene West,0.0,0.000598963792638735,0.000598963792638735,0.000598963792638735,0.000598963792638735
Shai Osu Doku,0.0,0.0,0.00014081107177341487,0.00014081107177341487,0.00036208561313163823
