Impact Kind,Total Impacted,Total Possible,Percent Impacted
Population_Impacts,3082,29212483,0.010550284274020801
Cropland_Impacts,16.359999999999996,219809.76,0.007442799628187572
Road_Impacts,12904,164479248,0.007845366608193637
Hospital_Impacts,1,334,0.29940119760479045
Market_Impacts,1,248,0.4032258064516129
School_Impacts,3,248,1.2096774193548387
