Impact Kind,Total Impacted,Total Possible,Percent Impacted
Population_Impacts,21193,28184269,0.07519442849484584
Cropland_Impacts,9.569999999999991,212504.67000000007,0.00450343044225804
Road_Impacts,67565,157921176,0.04278400257100416
Hospital_Impacts,0,323,0
Market_Impacts,5,245,2.0408163265306123
School_Impacts,2,245,0.8163265306122449
