Impact Kind,Total Impacted,Total Possible,Percent Impacted
Population_Impacts,10895,29212483,0.03729569992389897
Cropland_Impacts,613.2799999999992,219809.76,0.2790048995094664
Road_Impacts,132060,164479248,0.08028976397071076
Hospital_Impacts,1,334,0.29940119760479045
Market_Impacts,0,248,0
School_Impacts,4,248,1.6129032258064515
