Impact Kind,Total Impacted,Total Possible,Percent Impacted
Population_Impacts,3664,29212483,0.01254258325113959
Cropland_Impacts,2.319999999999999,219809.76,0.0010554581379825893
Road_Impacts,8173,164479248,0.004969015908924876
Hospital_Impacts,0,334,0
Market_Impacts,0,248,0
School_Impacts,2,248,0.8064516129032258
