Impact Kind,Total Impacted,Total Possible,Percent Impacted
Population_Impacts,7563,29212483,0.02588961712018797
Cropland_Impacts,20.930000000000007,219809.76,0.009521870184472248
Road_Impacts,22260,164479248,0.013533622186794044
Hospital_Impacts,1,334,0.29940119760479045
Market_Impacts,0,248,0
School_Impacts,1,248,0.4032258064516129
