Region,Avg Impact Per Year - People,Avg Impact Per Year - Crops,Avg Impact Per Year - Crops Scaled,FRI,FRI_z_score,Treatment
Tema Metropolis,0.22500000000000006,0.000125,1.25e-05,0.22501250000000006,-0.18309216843478027,1
Ningo Prampram,0.22000000000000006,0.0039183333333333336,0.00039183333333333333,0.2203918333333334,-0.18360182288539145,1
Nanumba North,0.18750000000000006,0.27854500000000004,0.027854500000000004,0.21535450000000006,-0.18415743521100364,1
Fanteakwa,0.2,0.05194166666666666,0.0051941666666666655,0.20519416666666668,-0.18527810880132822,1
Aowin,0.205,0.0001716666666666667,1.716666666666667e-05,0.20501716666666667,-0.18529763170662863,1
Gomoa West,0.1725,0.0006500000000000001,6.500000000000001e-05,0.172565,-0.18887706999265713,1
Kasena Nankana East,0.14833333333333334,0.09213833333333334,0.009213833333333334,0.15754716666666668,-0.19053352048974348,1
North Tongu,0.154,0.011293333333333334,0.0011293333333333333,0.15512933333333334,-0.19080020484679933,1
Wassa Amenfi Central,0.14,0.0017016666666666664,0.00017016666666666664,0.14017016666666668,-0.19245018447508552,1
Kumbumgu,0.07100000000000001,0.6190716666666667,0.061907166666666666,0.1329071666666667,-0.19325128538580305,1
Bole,0.0875,0.44094666666666665,0.044094666666666664,0.13159466666666667,-0.19339605269205623,1
Wa West,0.12016666666666664,0.01519166666666667,0.001519166666666667,0.12168583333333331,-0.19448898610903023,1
Biakoye,0.106,0.042716666666666674,0.0042716666666666675,0.11027166666666667,-0.19574795613680782,1
Shai Osu Doku,0.0975,0.019531666666666662,0.0019531666666666664,0.09945316666666668,-0.196941224786484,1
Tamale North Sub Metro,0.08800000000000001,0.026696666666666667,0.0026696666666666665,0.09066966666666668,-0.19791003517465525,1
Wassa Amenfi East,0.08300000000000002,0.0022666666666666673,0.00022666666666666674,0.08322666666666668,-0.19873098988737323,1
Wa East,0.07933333333333334,0.017775,0.0017775,0.08111083333333334,-0.19896436397662837,1
Saboba,0.040000000000000015,0.34137666666666666,0.03413766666666666,0.07413766666666669,-0.19973349658949524,1
Adansi South,0.07,0.0009933333333333337,9.933333333333337e-05,0.07009933333333335,-0.200178920314005,1
Agona East,0.056000000000000015,0.0001466666666666667,1.466666666666667e-05,0.056014666666666685,-0.20173244355423905,1
Ellembelle,0.05,0.0002,2e-05,0.05002,-0.20239364869345358,1
Ejisu Juaben,0.0475,5e-05,5e-06,0.047505,-0.20267105042695965,1
Wassa Amenfi West,0.04666666666666667,0.0008400000000000001,8.400000000000001e-05,0.04675066666666667,-0.20275425256386148,1
Asante Akim Central Municipal,0.044833333333333336,9.666666666666668e-05,9.666666666666668e-06,0.044843,-0.2029646660987661,1
Binduri,0.03266666666666667,0.11381333333333332,0.011381333333333332,0.044048000000000004,-0.203052353724268,1
Banda,0.040000000000000015,0.03887,0.0038870000000000003,0.043887000000000016,-0.2030701118471684,1
Ga Central Municipal,0.042,0.0,0.0,0.042,-0.20327824587147297,1
Karaga,0.0,0.4188483333333333,0.04188483333333333,0.04188483333333333,-0.20329094862812325,1
Adenta,0.040000000000000015,0.0016966666666666669,0.00016966666666666668,0.04016966666666668,-0.2034801296247774,1
Garu Tempane,0.022500000000000003,0.14681833333333333,0.014681833333333333,0.03718183333333334,-0.20380968435483462,1
Builsa South,0.020000000000000004,0.12891833333333333,0.012891833333333333,0.032891833333333335,-0.204282866635845,1
Birim North,0.0325,0.00049,4.9e-05,0.032549,-0.20432068077539584,1
Jirapa,0.028000000000000004,0.04463333333333333,0.004463333333333333,0.03246333333333334,-0.20433012971449604,1
Lower Manya,0.02583333333333333,0.001315,0.0001315,0.02596483333333333,-0.20504690711616175,1
Kpone Katamanso,0.025,0.0045333333333333345,0.0004533333333333335,0.025453333333333335,-0.205103325003513,1
Gomoa East,0.025,0.0001716666666666667,1.716666666666667e-05,0.025017166666666667,-0.20515143370706404,1
Chereponi,0.0,0.24923166666666666,0.024923166666666666,0.024923166666666666,-0.20516180180366428,1
Akatsi South,0.022500000000000003,0.009729999999999999,0.0009729999999999999,0.023473,-0.20532175359181778,1
Nadowli / Kaleo,0.020000000000000004,0.027725,0.0027725,0.022772500000000005,-0.20539901797126947,1
Tolon,0.0,0.22675666666666666,0.022675666666666667,0.022675666666666667,-0.2054096985814197,1
Kwaebibirem,0.022500000000000003,0.00019666666666666669,1.966666666666667e-05,0.02251966666666667,-0.20542690520982007,1
Tarkwa Nsuaem,0.020000000000000004,0.005173333333333333,0.0005173333333333333,0.02051733333333334,-0.20564776037392493,1
La Nkwantanang Madina,0.020000000000000004,4.666666666666667e-05,4.666666666666667e-06,0.02000466666666667,-0.20570430694332617,1
Sagnerigu,0.015,0.0008716666666666666,8.716666666666667e-05,0.015087166666666665,-0.20624670178408805,1
Bawku West,0.0,0.12095000000000003,0.012095000000000003,0.012095000000000003,-0.2065767344760453,1
Daffiama Bussie,0.010000000000000002,0.00095,9.5e-05,0.010095000000000002,-0.20679733227605016,1
Nanumba South,0.0,0.09523666666666666,0.009523666666666666,0.009523666666666666,-0.20686034971425152,1
Bongo,0.0,0.08356166666666666,0.008356166666666666,0.008356166666666666,-0.20698912368000433,1
Lawra,0.0,0.07894166666666666,0.007894166666666666,0.007894166666666666,-0.20704008177180544,1
Mion,0.0,0.06468833333333335,0.006468833333333335,0.006468833333333335,-0.20719729447060892,1
Kasena Nankana West,0.0,0.044275,0.0044275,0.0044275,-0.20742245129181386,1
Talensi,0.0,0.04173166666666667,0.004173166666666667,0.004173166666666667,-0.20745050397871445,1
Ketu North,0.0,0.02879666666666666,0.0028796666666666662,0.0028796666666666662,-0.2075931756058676,1
Mamprusi East,0.0,0.02770833333333333,0.002770833333333333,0.002770833333333333,-0.20760517980281784,1
Sissala East,0.0,0.02338,0.0023380000000000002,0.0023380000000000002,-0.20765292084336892,1
Asante Akim North,0.0,0.021531666666666664,0.0021531666666666665,0.0021531666666666665,-0.20767330775671933,1
North Dayi,0.0,0.01845833333333333,0.001845833333333333,0.001845833333333333,-0.2077072062853201,1
Bunkpurugu Yonyo,0.0,0.017425000000000003,0.0017425000000000003,0.0017425000000000003,-0.20771860383832033,0
Bolgatanga Municipal,0.0,0.01726,0.001726,0.001726,-0.2077204237701704,0
Nandom,0.0,0.014468333333333338,0.0014468333333333338,0.0014468333333333338,-0.20775121554642106,0
West Gonja,0.0,0.012828333333333334,0.0012828333333333333,0.0012828333333333333,-0.20776930456602147,0
Bawku Municipal,0.0,0.011815,0.0011815,0.0011815,-0.2077804815212217,0
Zabzugu,0.0,0.011266666666666666,0.0011266666666666667,0.0011266666666666667,-0.20778652957757182,0
Effutu,0.0,0.009696666666666666,0.0009696666666666666,0.0009696666666666666,-0.2078038465048722,0
Lambussie Karni,0.0,0.009468333333333334,0.0009468333333333334,0.0009468333333333334,-0.20780636499642227,0
Sissala  West,0.0,0.008696666666666665,0.0008696666666666665,0.0008696666666666665,-0.20781487639487245,0
Kpando Municipal,0.0,0.007036666666666666,0.0007036666666666666,0.0007036666666666666,-0.20783318601227285,0
Sawla / Tuna / Kalba,0.0,0.006973333333333333,0.0006973333333333333,0.0006973333333333333,-0.20783388457197288,0
Kintampo South,0.0,0.006796666666666665,0.0006796666666666665,0.0006796666666666665,-0.20783583318587293,0
Gushiegu,0.0,0.0062316666666666675,0.0006231666666666667,0.0006231666666666667,-0.20784206507372305,0
Tatale,0.0,0.004351666666666667,0.0004351666666666667,0.0004351666666666667,-0.2078628012669235,0
Pusiga,0.0,0.0027683333333333336,0.00027683333333333336,0.00027683333333333336,-0.20788026525942388,0
Afadzato South,0.0,0.002163333333333333,0.0002163333333333333,0.0002163333333333333,-0.20788693834287403,0
Yilo Krobo,0.0,0.0014466666666666668,0.0001446666666666667,0.0001446666666666667,-0.20789484309737422,0
Wa Municipal,0.0,0.0013833333333333336,0.00013833333333333335,0.00013833333333333335,-0.20789554165707422,0
Kwahu East,0.0,0.001205,0.00012049999999999999,0.00012049999999999999,-0.20789750865412426,0
Atebubu Amantin,0.0,0.00118,0.00011800000000000001,0.00011800000000000001,-0.20789778440137427,0
Denkyembour,0.0,0.0011683333333333333,0.00011683333333333333,0.00011683333333333333,-0.20789791308342428,0
Awutu Senya East Municipal,0.0,0.0010966666666666666,0.00010966666666666666,0.00010966666666666666,-0.2078987035588743,0
Awutu Senya West,0.0,0.001065,0.0001065,0.0001065,-0.2078990528387243,0
Asutifi North,0.0,0.0010216666666666668,0.00010216666666666668,0.00010216666666666668,-0.20789953080062432,0
Assin North,0.0,0.0009683333333333334,9.683333333333335e-05,9.683333333333335e-05,-0.20790011906142433,0
Adaklu,0.0,0.0007716666666666668,7.716666666666668e-05,7.716666666666668e-05,-0.20790228827312437,0
Akatsi North,0.0,0.0006966666666666668,6.966666666666669e-05,6.966666666666669e-05,-0.2079031155148744,0
Bekwai Municipal,0.0,0.000425,4.2499999999999996e-05,4.2499999999999996e-05,-0.20790611196832445,0
Ga West,0.0,0.00034666666666666667,3.4666666666666665e-05,3.4666666666666665e-05,-0.20790697597637448,0
Nabdam,0.0,0.0003216666666666667,3.216666666666667e-05,3.216666666666667e-05,-0.20790725172362448,0
Atwima Kwanwoma,0.0,0.00024333333333333336,2.4333333333333336e-05,2.4333333333333336e-05,-0.2079081157316745,0
Atwima Nwabiagya,0.0,0.000225,2.2499999999999998e-05,2.2499999999999998e-05,-0.2079083179463245,0
Ejura Sekye Dumase,0.0,0.0002,2e-05,2e-05,-0.2079085936935745,0
West Akim,0.0,0.00019666666666666669,1.966666666666667e-05,1.966666666666667e-05,-0.2079086304598745,0
Upper Denkyira East,0.0,0.0001716666666666667,1.716666666666667e-05,1.716666666666667e-05,-0.20790890620712452,0
Kwahu West,0.0,0.000125,1.25e-05,1.25e-05,-0.20790942093532452,0
Ahafo Ano South,0.0,0.000125,1.25e-05,1.25e-05,-0.20790942093532452,0
Nsawam Adoagyiri,0.0,0.00012166666666666668,1.2166666666666668e-05,1.2166666666666668e-05,-0.20790945770162453,0
Bosome Freho,0.0,9.666666666666668e-05,9.666666666666668e-06,9.666666666666668e-06,-0.20790973344887453,0
Sekyere Central,0.0,7.500000000000001e-05,7.500000000000001e-06,7.500000000000001e-06,-0.20790997242982454,0
Akwapem South,0.0,7.166666666666667e-05,7.166666666666667e-06,7.166666666666667e-06,-0.20791000919612454,0
Birim Municipal,0.0,7.166666666666667e-05,7.166666666666667e-06,7.166666666666667e-06,-0.20791000919612454,0
Ajumako / Enyan / Esiam,0.0,5e-05,5e-06,5e-06,-0.20791024817707454,0
Ahafo Ano North,0.0,5e-05,5e-06,5e-06,-0.20791024817707454,0
East Akim,0.0,5e-05,5e-06,5e-06,-0.20791024817707454,0
Agotime Ziope,0.0,2.5e-05,2.5e-06,2.5e-06,-0.20791052392432458,0
Suhum Municipal,0.0,2.5e-05,2.5e-06,2.5e-06,-0.20791052392432458,0
New Juaben Municipal,0.0,2.5e-05,2.5e-06,2.5e-06,-0.20791052392432458,0
Wenchi,0.0,2.5e-05,2.5e-06,2.5e-06,-0.20791052392432458,0
Ayensuano,0.0,2.5e-05,2.5e-06,2.5e-06,-0.20791052392432458,0
Afigya Kwabre,0.0,2.5e-05,2.5e-06,2.5e-06,-0.20791052392432458,0
Ho Municipal,0.0,2.5e-05,2.5e-06,2.5e-06,-0.20791052392432458,0
Asutifi South,0.0,2.5e-05,2.5e-06,2.5e-06,-0.20791052392432458,0
Asante Akim South,0.0,2.5e-05,2.5e-06,2.5e-06,-0.20791052392432458,0
Nkoranza North,0.0,2.5e-05,2.5e-06,2.5e-06,-0.20791052392432458,0
Tain,0.0,2.5e-05,2.5e-06,2.5e-06,-0.20791052392432458,0
Sekyere Kumawu,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Birim South,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Dormaa East,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Bodi,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Akwapem North,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Bia West,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Asikuma / Odoben / Brakwa,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Asunafo North,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Assin South,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Dormaa Municipal,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Sekyere South,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Sekyere Afram Plains North,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Sekyere East,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Agona West,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Kwabre,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Sefwi-Wiawso,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Sefwi Akontombra,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Offinso North,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Offinso Municipal,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Suaman,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Sunyani Municipal,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Sunyani West,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Upper West Akim,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Twifo Lower Denkyira,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Techiman North,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Bia East,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Ashaiman,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Asokore Mampong Municipal,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Nkoranza South,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Tano North,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Akyem Mansa,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Kadjebi,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Juabeso,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Jasikan,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Jaman South,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Jaman North,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Hohoe Municipal,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Ho West,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Ga East,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Kma,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Mampong Municipal,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Mpohor,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Ledzokuku / Krowor,0.0,0.0,0.0,0.0,-0.20791079967157455,0
La Dade Kotopon,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Tano South,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Sekondi Takoradi,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Techiman Municipal,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Adansi North,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Asunafo South,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Dormaa West,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Berekum,0.0,0.0,0.0,0.0,-0.20791079967157455,0
Abura / Asebu / Kwamankese,0.0,0.0,0.0,0.0,-0.20791079967157455,0
