Impact Kind,Total Impacted,Total Possible,Percent Impacted
Population_Impacts,5750,29212483,0.01968336618287463
Cropland_Impacts,128.52000000000004,219809.76,0.05846874133341488
Road_Impacts,88896,164479248,0.05404693970877104
Hospital_Impacts,0,334,0
Market_Impacts,1,248,0.4032258064516129
School_Impacts,2,248,0.8064516129032258
